bucket,cl_open,cl_high,cl_low,cl_close,bren_open,bren_high,bren_low,bren_close,spread_abs_bren_minus_cl,spread_pct_vs_cl
2026-03-04,75.544000,77.173000,73.268000,75.910000,81.100000,82.849000,80.716000,82.325000,6.415000,0.084508
2026-03-05,75.923000,82.082000,74.996000,79.477000,82.337000,86.323000,81.644000,84.485000,5.008000,0.063012
2026-03-06,79.417000,92.112000,78.249000,89.721000,84.420000,93.707000,83.201000,90.778000,1.057000,0.011781
2026-03-07,89.721000,95.203000,89.316000,94.350000,91.050000,96.999000,89.204000,95.608000,1.258000,0.013333
2026-03-08,94.349000,111.530000,92.423000,107.230000,95.605000,110.000000,95.589000,107.800000,0.570000,0.005316
2026-03-09,107.270000,118.000000,80.146000,87.760000,107.640000,117.580000,81.424000,91.191000,3.431000,0.039095
2026-03-10,87.766000,90.113000,76.567000,84.820000,91.045000,92.794000,80.200000,89.068000,4.248000,0.050083
2026-03-11,84.764000,93.665000,81.000000,91.751000,89.066000,96.428000,84.921000,94.188000,2.437000,0.026561
2026-03-12,91.741000,96.929000,89.112000,95.426000,94.188000,102.100000,92.100000,98.015000,2.589000,0.027131
2026-03-13,95.456000,98.430000,91.000000,95.765000,97.989000,100.500000,94.042000,98.522000,2.757000,0.028789
2026-03-14,95.776000,103.280000,95.500000,99.890000,98.346000,106.940000,98.045000,103.250000,3.360000,0.033637
2026-03-15,99.802000,101.960000,96.500000,96.893000,103.310000,106.240000,99.000000,99.492000,2.599000,0.026823
2026-03-16,96.894000,99.290000,91.782000,93.804000,99.550000,101.800000,95.323000,97.462000,3.658000,0.038996
2026-03-17,93.781000,97.542000,93.149000,95.270000,97.436000,100.610000,97.200000,99.484000,4.214000,0.044232
2026-03-18,95.270000,99.686000,91.418000,98.268000,99.541000,107.060000,96.736000,105.650000,7.382000,0.075121
2026-03-19,98.243000,100.410000,92.152000,93.933000,105.620000,112.160000,99.647000,102.580000,8.647000,0.092055
2026-03-20,93.930000,98.750000,92.538000,96.339000,102.550000,107.500000,100.400000,105.770000,9.431000,0.097894
